id,application_nm,process_nm,audit_nm,object_nm,audit_measure_nm,audit_measure_type_cd,parent_id
1,SEC_SILVER,SOURCE,SOURCE,SOURCE,RECORDS_RECEIVED,COUNT,
2,SEC_SILVER,SOURCE,SOURCE,SOURCE,MARKED_FOR_INSERT,CDC,1
3,SEC_SILVER,SOURCE,SOURCE,SOURCE,MARKED_FOR_UPDATE,CDC,1
4,SEC_SILVER,SOURCE,SOURCE,SOURCE,MARKED_FOR_DELETE,CDC,
5,SEC_SILVER,SOURCE,SOURCE,SOURCE,MARKED_FOR_SKIP,CDC,1
6,SEC_SILVER,SOURCE,SOURCE,SOURCE,RECORDS_INSERTED,DML,2
7,SEC_SILVER,SOURCE,SOURCE,SOURCE,RECORDS_UPDATED,DML,3
8,SEC_SILVER,SOURCE,SOURCE,SOURCE,RECORDS_DELETED,DML,4
9,SEC_SILVER,SOURCE,SOURCE_KEY,SOURCE_KEY,RECORDS_INSERTED,DML,2
10,SEC_SILVER,TEST_PERSON,TEST_PERSON,TEST_PERSON,RECORDS_RECEIVED,COUNT,
11,SEC_SILVER,TEST_PERSON,TEST_PERSON,TEST_PERSON,MARKED_FOR_INSERT,CDC,10
12,SEC_SILVER,TEST_PERSON,TEST_PERSON,TEST_PERSON,MARKED_FOR_UPDATE,CDC,10
13,SEC_SILVER,TEST_PERSON,TEST_PERSON,TEST_PERSON,MARKED_FOR_DELETE,CDC,
14,SEC_SILVER,TEST_PERSON,TEST_PERSON,TEST_PERSON,MARKED_FOR_SKIP,CDC,10
15,SEC_SILVER,TEST_PERSON,TEST_PERSON,TEST_PERSON,RECORDS_INSERTED,DML,11
16,SEC_SILVER,TEST_PERSON,TEST_PERSON,TEST_PERSON,RECORDS_UPDATED,DML,12
17,SEC_SILVER,TEST_PERSON,TEST_PERSON,TEST_PERSON,RECORDS_DELETED,DML,13
18,SEC_SILVER,TEST_PERSON,TEST_PERSON_KEY,TEST_PERSON_KEY,RECORDS_INSERTED,DML,11
19,SEC_SILVER,SOURCE_SYSTEM,SOURCE_SYSTEM,SOURCE_SYSTEM,RECORDS_RECEIVED,COUNT,
20,SEC_SILVER,SOURCE_SYSTEM,SOURCE_SYSTEM,SOURCE_SYSTEM,MARKED_FOR_INSERT,CDC,19
21,SEC_SILVER,SOURCE_SYSTEM,SOURCE_SYSTEM,SOURCE_SYSTEM,MARKED_FOR_UPDATE,CDC,19
22,SEC_SILVER,SOURCE_SYSTEM,SOURCE_SYSTEM,SOURCE_SYSTEM,MARKED_FOR_DELETE,CDC,
23,SEC_SILVER,SOURCE_SYSTEM,SOURCE_SYSTEM,SOURCE_SYSTEM,MARKED_FOR_SKIP,CDC,19
