COMPANY,FT_SITE_ID,SITE,PROD_STAGE,GP_SITE_ID
Cold Ocean,E8D54523-72E7-41C1-9AAA-4B40159DC4F9,Grip Cove,Marine Site,3100
Cold Ocean,512EEA3F-C780-4386-A558-453EEADE0476,Killbuck Cove,Marine Site,3155
Cold Ocean,01B602EE-4759-4701-8788-092ED99507F4,Manuel Arm,Marine Site,3160
Cold Ocean,5FF3BC2D-E9ED-4D8C-BC0E-53736C048C59,Matchems,Marine Site,3170
Cold Ocean,775B519F-70D7-4DD0-BD58-BB2F1F63E496,North West Cove ,Marine Site,3420
Cold Ocean,11D7A63C-71C1-4732-A49C-010C691862EF,Olive Cove,Marine Site,3185
Cold Ocean,C0419D45-7A68-4069-9FAD-85FD439487D9,Robin Hood Cove,Marine Site,3230
Cold Ocean,8DD3A87C-4879-4455-8F07-465B76DB10A0,Seal Cove,Marine Site,3280
Cold Ocean,1F6AE52C-44A7-4094-A279-33831DBDE028,Sugarloaf,Marine Site,3320
Cooke Aquaculture USA,F91434A4-6171-47EB-8450-984BFA805913,Bingham,Hatchery,4020
Cooke Aquaculture USA,D6055F9A-D937-4676-AB04-5D3D8CFD1CF2,Gardner lake,Hatchery,4870
Cooke Aquaculture USA,653B82FF-B6F6-4B96-8DF0-C5183FA21E4D,Oquossoc,Fry Production,4900
Cooke Aquaculture USA,DEC2AD14-797B-4B6A-B887-135BDAF08ACB,USDA,,
Cooke Aquaculture USA,EF8F2661-F11C-49D6-91D8-4DCCBE02CEA5,Black Island,Marine Site,3540
Cooke Aquaculture USA,1B60CE10-4251-4AD7-8164-3EA4B0E73244,Black Island South,Marine Site,3545
Cooke Aquaculture USA,581E891D-E181-469A-82EC-859952EE7233,Broad Cove,Marine Site,3550
Cooke Aquaculture USA,152B284E-19E2-4BCC-90D2-8B9D5747DA84,Calf Island ,Marine Site,3555
Cooke Aquaculture USA,E17D79A9-03C2-4170-92E8-E76C260BC594,Cross Island,Marine Site,3570
Cooke Aquaculture USA,F93F29A1-369E-4B02-BDC9-267DAFB902D5,Cross Island North,Marine Site,3580
Cooke Aquaculture USA,44164C87-498D-4A09-9F76-25671CC8F828,Cutler West,Marine Site,3590
Cooke Aquaculture USA,794078C1-D398-4B28-B538-DD9D0E2EC95A,Deep Cove,Marine Site,3620
Cooke Aquaculture USA,6EACD2D1-8B6F-4BD3-88EF-5F5F8CE6AFD0,Sand Cove,Marine Site,3740
Cooke Aquaculture USA,A51AFBAC-65B9-4414-A979-33448EDAB6A9,Scragg Island,Marine Site,3750
Cooke Aquaculture USA,2692C1BA-06E6-4D59-8606-93F33CB60F1C,South Bay,Marine Site,3780
Cooke Aquaculture USA,464A9D9C-5AF3-4FE9-96C3-30ACD61C3F27,Spectacle Island,Marine Site,3790
Cooke Aquaculture USA,C6A2B8A1-806D-4B21-9896-CEAEEC045F41,Starboard,Marine Site,3810
Kelly Cove,22351B73-15AA-4620-9341-0761FF9BC519,Margery Cove,Marine Site,3180
Kelly Cove,2D54C492-8CE8-4041-9233-553FE1FD3298,Anchorage,Hatchery,4000
Kelly Cove,4F5843A3-B164-40FC-B53A-19B677BB5A61,Baileys Brook,Hatchery,4480
Kelly Cove,A12596D6-A4A6-4369-9A3D-739AD818B2D6,Barney River,Hatchery,4470
Kelly Cove,F6599033-8FE9-45BF-8647-086EAB97A91F,Belleoram,Fresh Water,4630
Kelly Cove,45D2F248-CF47-4C29-8DC6-2C7A596DBDA1,Buckman's Creek,Smolt Production,4010
Kelly Cove,2DE8438F-AC27-43F9-A037-EFA25D3A0F19,Daniel's Harbor,Hatchery,4640
Kelly Cove,423045D1-6593-4768-B411-0E2193624C42,Digdeguash,Hatchery,4020
Kelly Cove,3CAEB47B-B1A6-44F7-B34E-2F31A57EC540,Elmsville,Undefined,4030
Kelly Cove,B14127E9-EB9E-4C12-B444-8980C16FF769,Genomics ,Undefined,4045
Kelly Cove,DDF4EBDB-4488-46B7-8E03-706019D26B77,Huntsman Marine,Hatchery,4080
Kelly Cove,C95FCE40-36EC-4CD6-9501-187408AF4BC6,Long Pond (FW),Lake,4670
Kelly Cove,EFBBA0FD-4670-41E0-B417-A30706BF3529,M. Mullen Smolt,Hatchery,4450
Kelly Cove,E14E5D9A-9B92-4BB9-9524-7B515CF14209,Millbrook,Smolt Production,4455
Kelly Cove,6E6C6D03-8388-423A-A381-C9703668A49F,New Johnson Lake,,4055
Kelly Cove,2F96C51D-AC4C-43F8-AC68-1219F7E25802,Oak Bay Early Rearing,Brood Stock,4100
Kelly Cove,1029D19C-2D93-4C49-9046-68967490E791,Oak Bay Smolt,Fry Production,4110
Kelly Cove,2FD34E8D-739C-4174-B40F-3FA27083A5BD,Old Johnson Lake,Smolt Production,4050
Kelly Cove,BC7B5E0A-0F99-47AF-B2E5-D277434C82BA,Penobsquis,Hatchery,4195
Kelly Cove,05A45428-C777-467F-B97B-A4E882715789,ProNova,Fresh Water,7656
