from_currency,to_currency,mapped_currency_pair,mapped_ticker
CAD,CLP,CADCLP,CADCLP=R
CAD,EUR,CADEUR,CADEUR=R
CAD,GBP,CADGBP,CADGBP=R
CAD,JPY,CADJPY,CADJPY=
CAD,USD,CADUSD,CADUSD=R
CLP,CAD,CLPCAD,CLPCAD=R
CLP,EUR,CLPEUR,CLPEUR=R
CLP,GBP,CLPGBP,CLPGBP=R
CLP,JPY,CLPJPY,CLPJPY=R
CLP,USD,CLPUSD,CLPUSD=R
EUR,CAD,EURCAD,EURCAD=
EUR,CLP,EURCLP,EURCLP=R
EUR,GBP,EURGBP,EURGBP=
EUR,JPY,EURJPY,EURJPY=
EUR,USD,EURUSD,EUR=
GBP,CAD,GBPCAD,GBPCAD=
GBP,CLP,GBPCLP,GBPCLP=R
GBP,EUR,GBPEUR,GBPEUR=
GBP,JPY,GBPJPY,GBPJPY=
GBP,USD,GBPUSD,GBP=
JPY,CAD,JPYCAD,JPYCAD=R
JPY,CLP,JPYCLP,JPYCLP=R
JPY,EUR,JPYEUR,JPYEUR=R
JPY,GBP,JPYGBP,JPYGBP=R
JPY,USD,JPYUSD,JPYUSD=R
USD,CAD,USDCAD,CAD=
USD,CLP,USDCLP,CLP=
USD,EUR,USDEUR,USDEUR=R
USD,GBP,USDGBP,USDGBP=R
USD,JPY,USDJPY,JPY=


