vendor_name,vendor_id,company_id,risk_level
BAADER CANADA LIMITED,BACALI0001,TNS,HIGH
MASTER PACKAGING (N.B.) INC.,MAPANB0001,TNS,N/A
HOSETH TECHNOLOGY AS,HOTEAS0001,TNS,MEDIUM
AL-PACK ENTERPRISES LTD.,ALPAEN0001,TNS,N/A
DEEPCHILL SOLUTIONS INC.,DESOIN0001,TNS,HIGH
"ITM FOOD SYSTEMS, LLC",ITFOSY0001,TNS,N/A
C&W INDUSTRIAL FABRICATION & MARINE EQUIPMENT LTD,CWINFA0001,TNS,N/A
MAREL INC. -- USD,MASEIN0002,TNS,HIGH
PENNFIELD HYDRAULICS LTD.,PEHYLT0001,TNS,MEDIUM
MILLTOWN MACHINE & FABRICATION LTD.,MIMAFA0001,TNS,MEDIUM
NEWLY WEDS FOODS CO.,NEWEFO0001,TNS,N/A
A&P MANUFACTURING LTD.,APMALT0001,TNS,N/A
IMPERIAL DADE CANADA INC.,IMDACA0001,TNS,MEDIUM
ENTERPRISES SHIPPAGAN LTEE,ENSHILT0001,TNS,N/A
J.SMITH EXCAVATING,JSMEX0001,TNS,LOW
CHARLOTTE COUNTY REFRIGERATION LTD.,CHCORE0001,TNS,MEDIUM
L & B INDUSTRIAL LTD.,LBINLT0001,TNS,LOW
FARNELL PACKAGING LIMITED,FAPALI0001,TNS,LOW
MOTION INDUSTRIES (CANADA) INC,MOININ0003,TNS,HIGH
ULINE CANADA CORPORATION,ULCACO0001,TNS,MEDIUM
T.DONAVAN & SON (1997) LTD,TDSOLT0001,TNS,MEDIUM
ALIMENTS CIBONA FOODS INC.,ALCIFO0001,TNS,N/A
HARPAK-ULMA PACKAGING LLC,HAUM0001,TNS,HIGH
EASTCHEM (NL) INC,EACHIN0001,TNS,N/A
HEAT SEALING PACKAGING,HESEPA0001,TNS,N/A
CHANDLER SALES,CHSA0001,TNS,LOW
Y R U COOKING LTD.,YRU0001,TNS,N/A
MARI-TECH SCALES & FOOD EQUIP,MATESC0001,TNS,HIGH
G.W. FOUNDATIONS LTD,GWFOLT0001,TNS,LOW
G.N. JOHNSTON EQUIPMENT CO. LTD.,GNJOEQ0001,TNS,MEDIUM
3M CANADA COMPANY # 96110242,3MCACO0001,TNS,N/A
PACKALL INC.,PAIN0002,TNS,N/A
S. D. BENT CONSTRUCTION LTD,SDBECO0001,TNS,LOW
ACTIVE LOCK & ALARM,ACLOAL0001,TNS,MEDIUM
BOURQUE INDUSTRIAL LTD.,BOINLT0001,TNS,LOW
"COLIMATIC USA, INC.",COUSIN0001,TNS,HIGH
RUSSEL METALS INC.,RUMEIN0001,TNS,MEDIUM
SOURCE ATLANTIC,SOAT0001,TNS,HIGH
T. SPEAR ELECTRIC LTD.,TSPEL0001,TNS,LOW
SIGNODE PACKAGING GROUP CANADA ULC,SIPAGR0001,TNS,LOW
DEBLY ENTERPRISES LTD.,DEENLT0001,TNS,LOW
EDDY GROUP LTD.,EDGRLT0001,TNS,MEDIUM
THINK INGREDIENTS INC- USD,THININ0003,TNS,N/A
REISER (CANADA) CO.,RECACO0001,TNS,LOW
ADVATEK SYSTEMS INC.,ADSYIN0001,TNS,HIGH
DUBOIS CHEMICALS CANADA INC.,DUCHCA0001,TNS,LOW
PENNECON ENERGY HYDRAULIC SYSTEMS,PEENHY0001,TNS,N/A
"SOLIDUS SOLUTIONS VIDECART, S.A.",SOSOVI0001,TNS,N/A
ATLANTIC COMPRESSED AIR LTD.,ATCOAI0001,TNS,MEDIUM
NEW WAY DIESEL,NEWADI0001,TNS,N/A
INVENTIVE MARINE PRODUCTS LTD. - CDN,INMAPR0001,TNS,N/A
NORBECH A/S,NOAS0002,TNS,HIGH
SMITH'S DIESEL & POWER GENERATION SERVICES LTD.,SMDIPO0001,TNS,LOW
ATLANTIC WINDOOR LTD.,ATWILT0001,TNS,MEDIUM
KEITH'S BUILDING SUPPLIES LIMITED,KEBUSU0001,TNS,LOW
AIMS LTD,AILT0001,TNS,N/A
CELMIRE INC,CEIN0002,TNS,MEDIUM
BRUNNET INC.,BRIN0002,TNS,N/A
TRI-COUNTY TRACTOR LIMITED,TRCOTR0002,TNS,N/A
ATLANTECH COMPANIES,ATCO0001,TNS,LOW
DEMPSEY'S PLUMBING & HEATING,DEPLHE0001,TNS,N/A
FUNDY FENCING LTD,FUFELT0001,TNS,N/A
COAST TIRE & AUTO SERVICE LTD.,COTIAU0001,TNS,N/A
AQUA MARINE SERVICES,AQMASE0001,TNS,N/A
COWPER INC.,COIN0001,TNS,HIGH
EASY KLEEN SYSTEMS LTD.,EAKLSY0001,TNS,HIGH
TRANE CANADA ULC,TRCAUL0001,TNS,MEDIUM
SUPERIOR SANITATION SERVICES DBA GFL ENVIRONMENTAL,SUSASE0002,TNS,LOW
GRAYBAR CANADA LIMITED,GRCALI0001,TNS,MEDIUM
MCMASTER CARR SUPPLY COMPANY,MCCASU0001,TNS,MEDIUM
ORKIN CANADA CORPORATION,ORCACO0001,TNS,HIGH
PROAX TECHNOLOGIES LTD,PRTELT0001,TNS,MEDIUM
"UNITED JUICE COMPANIES OF AMERICA, INC.",UNJUCO0001,TNS,N/A
CDW CANADA INC.,CDCAIN0001,TNS,N/A
CIMCO REFRIGERATION,CIRE0001,TNS,HIGH
YOUNG'S INDUSTRIAL REFRIGERATION LTD,YOINRE0001,TNS,MEDIUM
LVO MANUFACTURING INC.,LVMAIN0001,TNS,N/A
SAMUEL PACKAGING SYSTEMS GROUP,SAPASY0001,TNS,MEDIUM
"ISOTHERM, INC.",ISIN0001,TNS,MEDIUM
ATLANTIC ALARM & SOUND LTD.,ATALSO0001,TNS,N/A
DUIJNDAM MACHINES VOF,DUMAVO0001,TNS,N/A
TOTAL POWER LIMITED,TOPOLI0001,TNS,N/A
NEW ALASKO L.P.,NEALLP0001,TNS,N/A
QUADRA CHEMICALS LTD - USD,QUCHLT0002,TNS,N/A
COMPASS MINERALS CANADA CORP.,COMICA0001,TNS,N/A
"UNITED RENTALS OF CANADA, INC",UNRECA0001,TNS,MEDIUM
EMCO CORPORATION,EMCO0001,TNS,LOW
SENSITECH CANADA INC (USD),SECAIN0002,TNS,N/A
506 INDUSTRIES INC.,50ININ0001,TNS,LOW
CHANDLER MOTOR REPAIR INC.,CHMORE0001,TNS,LOW
COX ELECTRONICS & COMMUNICATIONS,COELCO0001,TNS,N/A
ATLANTIC SYSTEMS MANUFACTURING LTD.,ATSYMA0001,TNS,N/A
CASCADES SPECIALTY PRODUCTS GROUP,CASPPR0001,TNS,N/A
KELLY'S WASH TECH LIMITED,KEWATE0001,TNS,N/A
SKAGINN 3X (3X TECHNOLOGY EHF),Not Found,TNS,MEDIUM
DIVERSEY CANADA INC.,DICAIN0001,TNS,MEDIUM
NORTHEAST EQUIPMENT LTD.,NOEQLI0001,TNS,HIGH
QUADRA CHEMICALS LTD.,QUCHLT0001,TNS,N/A
TOROMONT CAT (MARITIMES),TOCA0001,TNS,N/A
BIZERBA CANADA INC,BICAIN0001,TNS,MEDIUM
GUILLEVIN INTERNATIONAL # 02-09308,GUIN9308,TNS,N/A
NOVIPAX LLC,NOLL0001,TNS,N/A
RPM REBUILT PUMPS & MOTORS LIMITED,RPREPU0001,TNS,N/A
ROCKET,RO0003,TNS,N/A
IFOODEQUIPMENT.COM INC.,IFCOIN0001,TNS,LOW
"BW INTEGRATED SYSTEMS, LLC",BWINSY0001,TNS,LOW
GMG FISH SERVICES LIMITED,GMFISE0001,TNS,N/A
PARDY'S WASTE MANAGEMENT AND INDUSTRIAL SERVICE LIMITED,PAWAMA0001,TNS,N/A
LIFTOW LIMITED,LILI0001,TNS,N/A
THE YES GROUP,THYEGR0001,TNS,MEDIUM
EPAC FLEXIBLE PACKAGING TORONTO ULC,EPFLPA0001,TNS,N/A
INDUSTRIES P.W.I. INC.,INPWIN0001,TNS,N/A
HOBART FOOD EQUIPMENT GROUP CANADA,HOFOEQ0001,TNS,LOW
REXEL ATLANTIC,REAT0001,TNS,HIGH
DOMINO PRINTING SOLUTIONS INC.,DOPRSO0001,TNS,HIGH
RAVENWOOD PACKAGING LTD.,RAPALT0001,TNS,MEDIUM
INTERNATIONAL SMOKING SYSTEMS,INSMSY0001,TNS,N/A
FLOWSTAR INDUSTRIAL ULC,FLININ0001,TNS,MEDIUM
GREAT LITTLE BOX COMPANY LTD,GRLIBO0001,TNS,N/A
INTEGRATED HVAC SOLUTIONS,INHVSO0001,TNS,N/A
FLEX O MARK INC.,FLMAIN0001,TNS,N/A
COMEAU'S SEA FOODS LIMITED,COSEFO0001,TNS,N/A
WESTLUND ACCT# 870445- SEE OTHER EMCO0001,WE0445,TNS,N/A
HAROLD SNOW SERVICE GROUP,HASNSE0001,TNS,N/A
WORLEE NATURAL PRODUCTS (CANADA) INC.,WONAPR0001,TNS,N/A
VERSATILE MOBILE SYSTEMS,VEMOSY0001,TNS,N/A
OCEAN GEAR INC.,OCGEIN0001,TNS,N/A
STATE CHEMICAL LTD.,STCH0001,TNS,N/A
NEOGEN CORPORATION,NECO0004,TNS,N/A
VIKING MASEK GLOBAL PACKAGING TECHNOLOGIES,VIMAGL0001,TNS,HIGH
VIDEOJET CANADA LIMITED PARTNERSHIP,VICALI0001,TNS,MEDIUM
LAIRD PLASTICS (CANADA) INC. 46657,LAPL6657,TNS,LOW
BATTLEFIELD EQUIPMENT RENTALS QM,BAEQRE0001,TNS,LOW
STELLAR INDUSTRIAL SALES LTD,STINSA0001,TNS,MEDIUM
KEEFE CONSTRUCTION LTD,KECOLT0002,TNS,N/A
ACADIA MARJAM,Not Found,TNS,N/A
RADWELL INTERNATIONAL-CANADA AUTOMATION ULC,RAINCA0001,TNS,HIGH
STOR-IT SYSTEMS LTD.,STITSY0001,TNS,LOW
NORSTAR CORPORATION,NOCO0001,TNS,N/A
HALL BROS. ENTERPRISES LTD.,HABREN0001,TNS,N/A
STRESCON LIMITED,STLI0001,TNS,N/A
JW BIRD & CO.,JWBICO0001,TNS,LOW
SOUTH COAST MARINA INC.,SOCOMA0001,TNS,N/A
PLAN AUTOMATION INC,PLAUIN0001,TNS,MEDIUM
JETVAC INC,JEIN0001,TNS,N/A
DEMPSEY CORPORATION,DECO0002,TNS,N/A
FILTERFAB,Not Found,TNS,MEDIUM
CBCL LIMITED CONSULTING ENGINEERS,CBCLLT0001,TNS,N/A
JENTRONICS LIMITED,JELI0001,TNS,MEDIUM
CHASE CORPORATION,CHCO0002,TNS,N/A
DIRECTDIAL.COM,DI0001,TNS,N/A
BSA S.E.C. LP INC.,BSSELP0001,TNS,N/A
EAST COAST INNOVATION INC,EACOIN0001,TNS,N/A
HANNAN'S PUMPING SERVICE LTD.,HAPUSE0001,TNS,MEDIUM
BUSCH VACUUM TECHNICS INC.,BUVATE0001,TNS,MEDIUM
TRACTION - USE OTHER ACCOUNT,TR0001,TNS,N/A
ADCO MANUFACTURING,ADMA0001,TNS,LOW
E-ZEE GAS SERVICE LTD.,EZGASE0001,TNS,MEDIUM
"STONHARD DIV, RPM CANADA",STDIRP0001,TNS,MEDIUM
SILK STEVENS LIMITED,SISTLI0001,TNS,LOW
SELECT MECHANICAL INCORPORATED,SEMEIN0002,TNS,LOW
RAE INDUSTRIAL ELECTRONICS LIMITED,RAINEL0001,TNS,MEDIUM
A.F. THERIAULT & SON LIMITED,AFTH0001,TNS,N/A
ATLANTIC ELECTRONICS LTD,ATELLT0001,TNS,N/A
"RAZOR EDGE SYSTEMS, INC.",RAEDSY0001,TNS,LOW
LINDSAY CONSTRUCTION,LICO0002,TNS,N/A
360 MARINE LTD,36MALT0001,TNS,N/A
ULTRA ALARM SERVICES (DIVISION OF VIPOND INC.),ULALSE0001,TNS,HIGH
METTLER TOLEDO INC,METOIN0001,TNS,LOW
XPERT OFFICE PRODUCTS,XPOFPR0001,TNS,N/A
ATLAS COPCO CANADA,ATCOCO0001,TNS,N/A
ADM SYSTEMS ENGINEERING LTD.,ADSYEN0001,TNS,N/A
FUNDY CONTRACTORS LIMITED,FUCOLI0001,TNS,N/A
"INNOVASEA SYSTEMS, INC.",INSYIN0001,TNS,N/A
OVERHEAD DOOR (NFLD) LIMITED,OVDONF0001,TNS,N/A
"MARITIME HOSE SPECIALTIES, DIV OF ONTARIO HOSE SPECIALTIES LTD.",MAHOSP0001,TNS,MEDIUM
SCALE SHOP (1985) LTD,SCSHLT0001,TNS,N/A
SEAMASTER SERVICES LIMITED,SESELI0001,TNS,N/A
IDEXX LABORATORIES CANADA CORPORATION,IDLACA0001,TNS,N/A
