Old_Warehouse,  New_Warehouse,  new_warehouse_name
1010-50, 1010-34, Wanchese - Suffolk VA - subcontract
1010-34, 1010-34, Wanchese - Suffolk VA - subcontract
1040-52, 9999-0001, AC Covert - Dartmouth NS
1050-53, 9999-0001, AC Covert - Dartmouth NS
1030-35, 9999-0002, Kelcold - Moncton NB
1040-35, 9999-0002, Kelcold - Moncton NB
1000-12, 9999-0003, Storage and Solutions - Bayside NB
1005-12, 9999-0003, Storage and Solutions - Bayside NB 
1010-12, 9999-0003, Storage and Solutions - Bayside NB 
1015-12, 9999-0003, Storage and Solutions - Bayside NB 
1030-12, 9999-0003, Storage and Solutions - Bayside NB 
1040-12, 9999-0003, Storage and Solutions - Bayside NB 
1050-12, 9999-0003, Storage and Solutions - Bayside NB 
1060-12, 9999-0003, Storage and Solutions - Bayside NB 
1090-12, 9999-0003, Storage and Solutions - Bayside NB 
1100-12, 9999-0003, Storage and Solutions - Bayside NB 
1040-36, 9999-0019, Lineage - Everett MA 
1030-52, 9999-0005, Fundy Bay Drive - St George NB 
1050-52, 9999-0005, Fundy Bay Drive - St George NB 
1090-35, 9999-0005, Fundy Bay Drive - St George NB 
1040-60, 9999-0005, Fundy Bay Drive - St George NB 
1010-10, 9999-0010, Suffolk - Return WH 
1015-10, 9999-0010, IPC - Return WH
1115-10, 9999-0010, Lusamerica - Return 
1000-10, 9999-0010, Return WH 
1005-10, 9999-0010, Return WH 
1030-10, 9999-0010, Return WH 
1040-10, 9999-0010, Return WH 
1050-10, 9999-0010, Return WH 
1060-10, 9999-0010, Return WH 
1070-10, 9999-0010, Return WH 
1080-10, 9999-0010, Return WH 
1090-10, 9999-0010, Return WH 
1100-10, 9999-0010, Return WH 
1110-10, 9999-0010, Return WH 
1010-11, 9999-0011, Suffolk - Transit WH 
1015-11, 9999-0011, IPC - Transit WH 
1115-11, 9999-0011, Lusamerica - Transit 
1120-11, 9999-0011, Pier Fish - Transit WH 
1125-11, 9999-0011, Channel - Transit WH 
1135-11, 9999-0011, North Star Cold Storage - Transit WH 
1145-11, 9999-0011, Altamar Foods Peru SRL - Transit WH 
1040-11, 9999-0011, Transit WH 
1050-11, 9999-0011, Transit WH 
1060-11, 9999-0011, Transit WH 
1070-11, 9999-0011, Transit WH 
1080-11, 9999-0011, Transit WH 
1090-11, 9999-0011, Transit WH 
1100-11, 9999-0011, Transit WH 
1110-11, 9999-0011, Transit WH 
1005-09, 9999-0012, Quarantine WH 
1010-09, 9999-0012, Quarantine WH 
1015-09, 9999-0012, Quarantine WH 
1030-09, 9999-0012, Quarantine WH 
1040-09, 9999-0012, Quarantine WH 
1050-09, 9999-0012, Quarantine WH 
1060-09, 9999-0012, Quarantine WH 
1070-09, 9999-0012, Quarantine WH 
1080-09, 9999-0012, Quarantine WH 
1090-09, 9999-0012, Quarantine WH 
1100-09, 9999-0012, Quarantine WH 
1110-09, 9999-0012, Quarantine WH 
1115-09, 9999-0012, Quarantine WH 
1120-09, 9999-0012, Quarantine WH 
1125-09, 9999-0012, Quarantine WH 
1145-09, 9999-0012, Quarantine WH 
1000-09, 9999-0012, Quarantine WH 
1135-09, 9999-0012, Quarantine WH 
1030-48, 9999-0015, Lineage - Bayside NB 
1000-36, 9999-0019, Lineage - Everett MA 
1050-36, 9999-0019, Lineage - Everett MA 
1110-36, 9999-0019, Lineage - Everett MA 
1010-36, 9999-0019, Lineage - Everett MA 
1010-39, 9999-0021, Lineage - Jacksonville FL 
1050-39, 9999-0021, Lineage - Jacksonville FL 
1040-39, 9999-0021, Lineage - Jacksonville FL 
1010-40, 9999-0022, Lineage - Raynham MA 
1050-40, 9999-0022, Lineage - Raynham MA 
1040-40, 9999-0022, Lineage - Raynham MA 
1000-33, 9999-0026, Suffolk Cold Storage - Suffolk VA 
1005-33, 9999-0026, Suffolk Cold Storage - Suffolk VA 
1010-33, 9999-0026, Suffolk Cold Storage - Suffolk VA 
1015-33, 9999-0026, Suffolk Cold Storage - Suffolk VA 
1030-33, 9999-0026, Suffolk Cold Storage - Suffolk VA 
1040-33, 9999-0026, Suffolk Cold Storage - Suffolk VA 
1050-33, 9999-0026, Suffolk Cold Storage - Suffolk VA 
1060-33, 9999-0026, Suffolk Cold Storage - Suffolk VA 
1070-33, 9999-0026, Suffolk Cold Storage - Suffolk VA 
1090-33, 9999-0026, Suffolk Cold Storage - Suffolk VA 
1100-33, 9999-0026, Suffolk Cold Storage - Suffolk VA 
1110-33, 9999-0026, Suffolk Cold Storage - Suffolk VA 
1010-25, 9999-0027, Versacold - Montreal PQ 
1050-25, 9999-0027, Versacold - Montreal PQ 
1060-25, 9999-0027, Versacold - Montreal PQ 
1070-25, 9999-0027, Versacold - Montreal PQ 
1090-25, 9999-0027, Versacold - Montreal PQ 
1100-25, 9999-0027, Versacold - Montreal PQ 
1030-31, 9999-0031, Alliance - Bouctouche NB YRU 
1110-28, 9999-0032, Resale OBI - direct delivery 
1100-29, 9999-0033, Resale Panama - direct delivery 
1080-26, 9999-0034, Resale Scotland - direct delivery 
1070-27, 9999-0035, Resale Culmarex - direct delivery 
1050-34, 9999-0036, Resale Wanchese - direct delivery 
1040-37, 9999-0037, Resale TNSLP - direct delivery 
1060-24, 9999-0031, Resale Chile - direct delivery 
1010-60, 9999-0040, Lineage - Vaughan ON 
1050-60, 9999-0040, Lineage - Vaughan ON 
1010-66, 9999-0041, FreezPak Logistics - Suffolk VA 
1060-22, 9999-0002, America's Custom Brokers - Miami FL 
1060-21, 9999-0004, Carty's - New York NY 
1000-19, 9999-0006, Ice Cube - Taunton MA 
1005-19, 9999-0006, Ice Cube - Taunton MA 
1015-19, 9999-0006, Ice Cube - Taunton MA 
1040-19, 9999-0006, Ice Cube - Taunton MA 
1000-18, 9999-0007, Ice Cube - New Bedford MA - 276 MacArthur 
1005-18, 9999-0007, Ice Cube - New Bedford MA - 276 MacArthur 
1015-18, 9999-0007, Ice Cube - New Bedford MA - 276 MacArthur 
1040-18, 9999-0007, Ice Cube - New Bedford MA - 276 MacArthur 
1030-18, 9999-0007, Ice Cube - New Bedford MA - 276 MacArthur 
1030-20, 9999-0008, Ice Cube - New Bedford MA - 289 MacArthur 
1040-20, 9999-0008, Ice Cube - New Bedford MA - 289 MacArthur 
1000-20, 9999-0008, Ice Cube - New Bedford MA - 289 MacArthur 
1005-20, 9999-0008, Ice Cube - New Bedford MA - 289 MacArthur 
1015-20, 9999-0008, Ice Cube - New Bedford MA - 289 MacArthur 
1110-47, 9999-0011, Lineage - Seattle WA - Garfield St 
1000-137, 9999-0012, Lineage - Hialeah FL 
1060-137, 9999-0012, Lineage - Hialeah FL 
1070-15, 9999-0012, Lineage - Hialeah FL 
1015-43, 9999-0013, Lineage - Lynden WA 
1115-43, 9999-0013, Lineage - Lynden WA 
1050-46, 9999-0014, Lineage - Long Beach CA 
1000-14, 9999-0016, Lineage - Chesapeake VA 
1005-14, 9999-0016, Lineage - Chesapeake VA 
1010-14, 9999-0016, Lineage - Chesapeake VA 
1010-38, 9999-0017, Lineage - Chicago IL 
1050-38, 9999-0017, Lineage - Chicago IL 
1100-38, 9999-0017, Lineage - Chicago IL 
1050-35, 9999-0018, Lineage - Elizabeth NJ 
1050-37, 9999-0020, Lineage - Medley FL 
1010-41, 9999-0023, Lineage - Vernon CA 
1050-41, 9999-0023, Lineage - Vernon CA 
1110-49, 9999-0024, Lineage - Seattle WA - Michigan St 
1110-58, 9999-0025, Lineage - Burien 
1000-16, 9999-0029, Waterfront - Taunton MA 
1005-16, 9999-0029, Waterfront - Taunton MA 
1000-17, 9999-0030, Waterfront - New Bedford MA 
1005-17, 9999-0030, Waterfront - New Bedford MA 
1015-17, 9999-0030, Waterfront - New Bedford MA 
1050-65, 9999-0039, FreezPak Logistics - Los Angeles CA 
1130-09, 9999-0012, Quarantine WH 
1130-11, 9999-0011, Transit WH 
1130-10, 9999-0010, Return WH
1030-54, 1130-54, PT. FRESH ON TIME SEAFOOD
